file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0358_0077_499771_to_502174,ཨོང་སངས་རྒྱས་ཞལ་བཞུགས་པའི་སྐབས་ལ་ཡ་ཨེ་ནས།  ,ong sangs rgyas zhal bzhugs pa'i skabs la ya e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0358_0077_499771_to_502174.wav,STT_NS,3,43,2.403,wav16k/STT_NS_M0358_0077_499771_to_502174.wav,ཨ་སངས་རྒྱས་ཞལ་བཞུགས་པའི་སྐབས་ལ་ཡང་ཨེ་ནས།
STT_CS-L-2015_2015-P_P-D_D-B05_B02-4_4-R_R-01_0147_1099923_to_1101953,དངོས་གནས་ཡིད་མ་ཆེད་ན་བལྟ་དང་འདི།  ,dngos gnas yid ma ched na blta dang 'di/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2015_2015-P_P-D_D-B05_B02-4_4-R_R-01_0147_1099923_to_1101953.wav,STT_CS,3,34,2.03,wav16k/STT_CS-L-2015_2015-P_P-D_D-B05_B02-4_4-R_R-01_0147_1099923_to_1101953.wav,དངོས་གནས་ཡིད་མ་ཆེས་ན་བལྟ་དང་འདི།
STT_NS_M0364_0214_1329394_to_1333411,ཨེ་ནས་མཚམས་མཚམས་ད་ང་ནམ་རྒྱུན་ང་རང་ག་རེ་ག་རེ་བྱེད་ཀི་ཡོད།  ,e nas mtshams mtshams da nga nam rgyun nga rang ga re ga re byed ki yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0364_0214_1329394_to_1333411.wav,STT_NS,3,58,4.017,wav16k/STT_NS_M0364_0214_1329394_to_1333411.wav,ཨེ་ནས་མཚམས་མཚམས་ད་ང་ནམ་རྒྱུན་ང་རང་ག་རེ་ག་རེ་བྱེད་ཀྱི་ཡོད།
STT_NS_M0365_0127_930315_to_934739,ཨ་མ་ཡིན་ནས་ཡ་ཡུད་སྐྱིད་བོ་བྱུང་སོང་ད། ཡིན་ནས་ད་སོ་སོ་གི་ཉམས་མྱོང་རཱ། ང་ཚོ་ནམ་རྒྱུན་ག་བ་ཡིན་ནས་ད།  ,a ma yin nas ya yud skyid bo byung song da/_yin nas da so so gi nyams myong rA/_nga tsho nam rgyun ga ba yin nas da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0365_0127_930315_to_934739.wav,STT_NS,3,98,4.424,wav16k/STT_NS_M0365_0127_930315_to_934739.wav,ཨ་མ་ཡིན་ནས་ཡ་ཡུད་སྐྱིད་པོ་བྱུང་སོང་ད། ཡིན་ནས་ད་སོ་སོ་གི་ཉམས་མྱོང་རཱ། ང་ཚོ་ནམ་རྒྱུན་ག་བ་ཡིན་ནས་ད།
STT_PC0045_0632_4510312_to_4512360,བོད་ཀི་ས་ཁུལ་བཙན་ས་གང་རུང་ཞིག་ཏུ་བཞུགས་ནས་ ,bod ki sa khul btsan sa gang rung zhig tu bzhugs nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0045_0632_4510312_to_4512360.wav,STT_PC,3,43,2.048,wav16k/STT_PC0045_0632_4510312_to_4512360.wav,བོད་ཀྱི་ས་ཁུལ་བཙན་ས་གང་རུང་ཞིག་ཏུ་བཞུགས་ནས་
STT_PC0046_0287_1969732_to_1972420,སའོ་ལན་དེ་ཨེ་ནས་ཁོ་ཚོས་མེད་པ་བཟོ་ཡ་ལ་དྲག་གནོན་བྱེད་ཀི་ཡོད་རེད་བ།  ,sa'o lan de e nas kho tshos med pa bzo ya la drag gnon byed ki yod red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0046_0287_1969732_to_1972420.wav,STT_PC,3,66,2.688,wav16k/STT_PC0046_0287_1969732_to_1972420.wav,སའོ་ལན་དེ་ཨེ་ནས་ཁོ་ཚོས་མེད་པ་བཟོ་ཡ་ལ་དྲག་གནོན་བྱེད་ཀི་ཡོད་རེད་བ།
STT_PC0024_0225_1438026_to_1440714,བྱས་བྱས། ང་རས་རིགས་པའི་ཐོག་ནས་ཕར་དཔྱད་པ་བྱས་པ་ཡིན་ན་ ,byas byas/_nga ras rigs pa'i thog nas phar dpyad pa byas pa yin na _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0024_0225_1438026_to_1440714.wav,STT_PC,3,53,2.688,wav16k/STT_PC0024_0225_1438026_to_1440714.wav,བྱས་བྱས་ང་རའི་རིགས་པའི་ཐོག་ནས་ཕར་དཔྱད་པ་བྱས་པ་ཡིན་ན།
STT_PC0054_0030_297077_to_301109,ད་ཡིན་ནས་ལས་ག་རེ་ཟེར་ན། སྟབས་མི་ལེགས་པ་ཟེར་ནས་མི་འདུག ཅིག་སྟོང་དགུ་བརྒྱ་བདུན་ཅུ་དོན་དགུའི་ལོ་ལ་ཡ་ ,da yin nas las ga re zer na/_stabs mi legs pa zer nas mi 'dug_cig stong dgu brgya bdun cu don dgu'i lo la ya _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0054_0030_297077_to_301109.wav,STT_PC,3,98,4.032,wav16k/STT_PC0054_0030_297077_to_301109.wav,ད་ཡིན་ན་ལས་ག་རེ་ཟེར་ན། སྟབས་མི་ལེགས་པ་ཟེར་ནས་མི་འདུག ཆིག་སྟོང་དགུ་བརྒྱ་བདུན་ཅུ་དོན་དགུའི་ལོ་ལ་ཡ་
STT_NS_M0367_0216_1599460_to_1601469,ཁྱེད་རང་ངག་ཐོག་འཇུས་ནས་འགྲོ་རྒྱོ་ཀ་ཅི་ད།  ,khyed rang ngag thog 'jus nas 'gro rgyo ka ci da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0367_0216_1599460_to_1601469.wav,STT_NS,3,42,2.009,wav16k/STT_NS_M0367_0216_1599460_to_1601469.wav,ཁྱེད་རང་ངག་ཐོག་འཇུས་ནས་འགྲོ་རྒྱོ་ཀ་ཅི་ད།
STT_NS_M0368_0024_168461_to_170980,མི་ཕར་ཚུར་འབྲེལ་བ་བྱེད་ཡ་ཀ་ཅི་ད།  ,mi phar tshur 'brel ba byed ya ka ci da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0368_0024_168461_to_170980.wav,STT_NS,3,34,2.519,wav16k/STT_NS_M0368_0024_168461_to_170980.wav,མི་ཕར་ཚུར་འབྲེལ་བ་བྱེད་ཡ་ཀ་ཅི་ད།
